categoria,pregunta,respuesta
Sanciones,¿Puedo perder permanentemente el derecho a préstamo?,"Sí. La biblioteca puede cancelar permanentemente el servicio de préstamo en casos de incumplimiento reiterado, negativa a devolver o reponer libros, uso indebido de la credencial o daño intencional al acervo."
Sanciones,¿Qué sucede si reincido en devoluciones tardías?,"La biblioteca puede imponer suspensiones temporales adicionales cuando exista reincidencia, aun después de pagar las multas."
Pérdida o daño,¿Qué debo hacer si pierdo un libro?,"Debes avisar de inmediato a la biblioteca y reponerlo con un ejemplar idéntico: mismo título, autor, edición e ISBN, en buen estado."
Pérdida o daño,¿Qué pasa si no consigo un ejemplar idéntico al que perdí?,El personal evaluará el caso y podrá autorizar una edición equivalente o el pago del costo de reposición. No debes comprar un sustituto diferente sin autorización previa.
Pérdida o daño,¿Qué pasa si daño un libro?,"Debes cubrir el costo de reparación determinado por la biblioteca o reponerlo con un ejemplar idéntico, según la gravedad del daño."
Pérdida o daño,¿Qué se considera daño a un libro?,"Se considera daño escribir, subrayar, recortar, doblar, mojar, manchar, desprender páginas, romper la encuadernación o realizar cualquier acción que afecte su lectura o conservación."
Pérdida o daño,¿Continúan las multas mientras se resuelve una pérdida?,Sí. Las multas pueden seguir acumulándose hasta que informes la pérdida y la biblioteca registre formalmente el proceso de reposición.
Requisitos,¿Qué necesito para sacar una credencial?,"Debes presentar identificación oficial vigente y comprobante de domicilio reciente. Las personas menores de edad deben acudir con su madre, padre o tutor, quien asumirá la responsabilidad de los préstamos."
Requisitos,¿La credencial tiene costo?,No. La expedición inicial de la credencial es gratuita.
Requisitos,¿Qué hago si pierdo mi credencial?,Debes reportarla de inmediato para evitar su uso indebido. La reposición puede estar sujeta a verificación de identidad y al pago de la cuota vigente.
Requisitos,¿Debo actualizar mis datos?,"Sí. Debes informar cualquier cambio de domicilio, teléfono o correo electrónico para mantener vigente tu registro."
Consulta en sala,¿Puedo consultar libros sin credencial?,Sí. La consulta de libros dentro de la biblioteca es libre y gratuita; la credencial solo es necesaria para el préstamo a domicilio.
Consulta en sala,¿Debo devolver los libros consultados directamente al estante?,"No. Después de consultarlos, colócalos en los carros o espacios señalados para que el personal los ordene correctamente."
Uso de instalaciones,¿Qué conducta se espera dentro de la biblioteca?,"Las personas usuarias deben mantener un ambiente respetuoso, hablar en voz baja, seguir las indicaciones del personal y evitar conductas que interrumpan el estudio o la lectura."
Uso de instalaciones,¿Se permite comer o beber dentro de la biblioteca?,No se permite comer en las salas ni colocar bebidas abiertas cerca de los libros. Solo pueden consumirse alimentos en las áreas expresamente designadas.
Uso de instalaciones,¿Puedo ingresar con mascotas?,Solo se permite el acceso de animales de asistencia. Las mascotas deben permanecer fuera de la biblioteca.
Uso de instalaciones,¿Puedo tomar fotografías o grabar videos?,"Las fotografías personales sin flash pueden permitirse si no molestan a otras personas ni dañan los libros. Las sesiones, grabaciones o usos comerciales requieren autorización previa."
Seguridad,¿La biblioteca se hace responsable de objetos personales?,No. Cada persona es responsable de sus pertenencias y debe mantenerlas bajo vigilancia durante su estancia.
Seguridad,¿Qué debo hacer en una emergencia?,"Sigue las instrucciones del personal, conserva la calma y utiliza las rutas de evacuación señaladas."
Accesibilidad,¿Las personas con discapacidad pueden solicitar apoyo?,"Sí. El personal brindará apoyo razonable para facilitar el acceso, la consulta y el préstamo de libros, de acuerdo con los recursos disponibles."
Privacidad,¿Cómo se utilizan mis datos personales?,"Los datos se utilizan únicamente para administrar la credencial, los préstamos, las reservas, los avisos y los adeudos, y se protegen conforme al aviso de privacidad aplicable."
Donaciones,¿La biblioteca acepta donaciones de libros?,"Sí, puede recibir libros en buen estado y pertinentes para su colección. La aceptación queda sujeta a evaluación y los libros donados pasan a ser propiedad de la biblioteca."
Donaciones,¿Todos los libros donados se integran al catálogo?,"No. La biblioteca decide cuáles incorporar, intercambiar, canalizar o descartar según sus necesidades, espacio y criterios de selección."
Atención a usuarios,¿Dónde puedo presentar una queja o sugerencia?,Puedes comunicarla al personal del mostrador o mediante los canales de atención de la biblioteca. Se atenderá de manera respetuosa y confidencial.
Servicios digitales,¿La biblioteca ofrece Wi‑Fi?,La biblioteca ofrece acceso gratuito a Internet inalámbrico durante el horario de servicio y sujeto a disponibilidad técnica.
Servicios digitales,¿Cómo debe utilizarse el Wi‑Fi?,"El acceso a Internet debe utilizarse de forma responsable, respetando la legislación aplicable y los derechos de otras personas usuarias."
Servicios digitales,¿Qué actividades están prohibidas en la red Wi‑Fi?,"Está prohibido utilizar la red para actividades ilegales, intentos de acceso no autorizado, distribución de software malicioso o acciones que afecten el servicio."
Servicios digitales,¿La biblioteca garantiza disponibilidad permanente del Wi‑Fi?,"No. El servicio puede suspenderse temporalmente por mantenimiento, fallas técnicas o causas ajenas a la biblioteca."
Servicios digitales,¿Quién es responsable de los dispositivos personales?,Cada usuario es responsable de la seguridad y el resguardo de sus dispositivos y de la información que transmita mediante la red.
